"body_weight_kg"	"tissue"	"chronological_age"	"group"	"monkey_id"	"Residual_adult"	"individual_sex"	"bw_adj"
6.88	"adrenal"	5	"HH"	"5N1"	-1.61019810724311	"F"	1.21516507440828
12.86	"adrenal"	16	"HH"	"91O"	2.72042194990713	"M"	3.12884582026042
6.96	"adrenal"	11	"HH"	"2C0"	2.17551047741688	"F"	0.0309940237992208
9.7	"adrenal"	6	"HH"	"8L6"	1.10589658772932	"M"	0.713647696829634
5.98	"adrenal"	20	"HH"	"22H"	-3.88905391711217	"F"	-0.800698580636572
11.4	"adrenal"	7	"HH"	"4J0"	2.50433171367718	"M"	1.70598919318804
8.14	"adrenal"	6	"HH"	"3L5"	0.720983584261271	"M"	-0.846352303170365
6.4	"adrenal"	4	"HH"	"3P2"	-2.89604979156552	"M"	0.355188655089434
6.72	"adrenal"	5	"HH"	"4N5"	0.411420327650424	"F"	1.05516507440828
7.38	"adrenal"	10	"HH"	"2E9"	0.895808837972095	"F"	0.475704974194769
7.16	"adrenal"	14	"HH"	"94S"	-1.64192567837352	"F"	0.221757207121747
7.62	"adrenal"	12	"HH"	"65Z"	0.354479510876892	"F"	0.679815498296784
7.18	"adrenal"	15	"HH"	"55R"	0.172587524572919	"F"	0.253692136091594
8.7	"adrenal"	17	"HH"	"41N"	-1.33072793304918	"M"	-0.703902354687399
4.28	"adrenal"	3	"HH"	"2Q0"	-0.74169002772968	"F"	-0.167449744998611
10.62	"adrenal"	12	"HH"	"3A6"	-0.0394348649655735	"M"	0.072194804421104
5.18	"adrenal"	7	"HH"	"9I5"	3.35150622536062	"F"	-1.31233882405313
4.4	"adrenal"	3	"HH"	"1R2"	-1.05064209514671	"M"	0.440248516197128
5.76	"adrenal"	16	"HH"	"50P"	-1.69335620195445	"M"	-3.97115417973958
4.24	"adrenal"	3	"HH"	"4Q6"	-0.136946021165824	"F"	-0.207449744998611
7.96	"adrenal"	6	"HH"	"4L8"	0.924789898919952	"F"	1.81241589654458
4.38	"adrenal"	3	"HH"	"5R9"	-2.1384277733797	"M"	0.420248516197127
9.74	"adrenal"	17	"HH"	"43N"	-3.71084626802323	"M"	0.336097645312601
6.74	"adrenal"	13	"HH"	"48V"	1.66778795217134	"F"	-0.203065889702782
6.36	"adrenal"	7	"HH"	"4J6"	0.382762599093858	"F"	-0.132338824053127
6.32	"adrenal"	9	"HH"	"8E2"	1.36775524350611	"F"	-0.522245824280477
3.96	"adrenal"	3	"HH"	"2R4"	-2.09895623728402	"M"	0.000248516197127361
5.54	"adrenal"	3	"HH"	"2S6"	-1.71207496873392	"M"	1.58024851619713
4.94	"adrenal"	4	"HH"	"9P5"	1.52494214258887	"F"	-0.141331017781738
6.66	"adrenal"	14	"HH"	"77S"	3.02054088199492	"F"	-0.278242792878253
5.24	"adrenal"	6	"HH"	"8K7"	3.76457367551717	"F"	-0.907584103455416
4.52	"adrenal"	4	"HH"	"5P6"	-0.0236164303810553	"F"	-0.561331017781739
9.26	"adrenal"	12	"HH"	"49Z"	1.09055001258872	"M"	-1.2878051955789
9.6	"adrenal"	5	"HH"	"4N8"	-0.524146412636916	"M"	1.7984310662646
4	"adrenal"	3	"HH"	"4S3"	-2.0371202837371	"F"	-0.447449744998611
